Episode, Average Raw Score, Average Reward, Average Loss, Epsilon
100, 205.55, 687.8199999999863, 21583.57265625, 0.009972197700605995
200, 213.75, 734.3439999999831, 861562.7024414062, 0.00997291457936934
300, 204.85, 685.5959999999858, 511310.26328125, 0.009973631509667477
400, 193.35, 636.1559999999844, 99693.465625, 0.009974348491504114
500, 189.15, 632.8199999999838, 133895.74765625, 0.009975065524882957
600, 196.6, 672.539999999985, 653929.015625, 0.009975782609807705
700, 230.65, 782.6439999999883, 216245.83671875, 0.009976499746282067
800, 201.3, 700.0759999999854, 5291409.73515625, 0.009977216934309752
900, 230.25, 830.7879999999899, 3310040.8390625, 0.009977934173894464
1000, 183.95, 640.7079999999861, 9048717.196875, 0.009978651465039913
1100, 214.85, 753.2159999999853, 965881.35, 0.009979368807749796
1200, 202.15, 709.8239999999844, 302006.4265625, 0.00998008620202783
1300, 229.75, 807.3119999999878, 1134317.759375, 0.009980803647877713
1400, 196.55, 661.3119999999839, 472364.8984375, 0.009981521145303164
1500, 205.05, 693.9719999999854, 847280.45, 0.009982238694307883
1600, 193.5, 659.867999999984, 1901844.3859375, 0.009982956294895574
1700, 185.95, 622.2999999999837, 2405272.553125, 0.009983673947069956
1800, 203.6, 694.0719999999897, 3259646.809375, 0.009984391650834723
1900, 219.3, 755.6679999999875, 8004114.384375, 0.0099851094061936
2000, 217.75, 742.1799999999844, 14345893.74375, 0.009985827213150283
2100, 215.35, 742.7279999999827, 4411991.615625, 0.009986545071708486
2200, 222.15, 732.707999999983, 3064908.965625, 0.009987262981871923
2300, 252.05, 836.9759999999807, 3681627.84375, 0.0099879809436443
2400, 222.8, 760.0999999999829, 3266604.8, 0.009988698957029328
2500, 246.05, 824.5999999999786, 859576.046875, 0.009989417022030713
2600, 261.35, 848.143999999978, 13081719.4625, 0.009990135138652167
2700, 261.45, 860.1439999999819, 4552938.5625, 0.0099908533068974
2800, 238.25, 787.455999999981, 1172962.690625, 0.009991571526770132
2900, 238.0, 785.1239999999796, 2254295.6765625, 0.009992289798274063
3000, 244.35, 854.275999999986, 7547873.578125, 0.009993008121412914
3100, 251.45, 870.2159999999874, 1027613.0828125, 0.009993726496190387
3200, 233.2, 783.6919999999795, 3803210.753125, 0.009994444922610196
3300, 241.4, 830.8759999999816, 1631721.821875, 0.009995163400676063
3400, 227.3, 770.1359999999829, 968586.059375, 0.009995881930391698
3500, 222.95, 750.1719999999856, 918625.14375, 0.00999660051176081
3600, 243.6, 832.0679999999859, 6691918.515625, 0.009997319144787112
3700, 156.15, 474.7919999999855, 1399864.90625, 0.009998037829474322
3800, 153.4, 512.7599999999813, 1924450.846875, 0.009998756565826149
3900, 215.15, 724.6719999999841, 833830.975, 0.00999947535384631
4000, 235.9, 816.2679999999848, 2485165.228125, 0.009950193222570822
4100, 227.05, 774.7319999999847, 1095350.85625, 0.009950908519481952
4200, 201.7, 664.9719999999796, 12556586.928125, 0.009951623867814157
4300, 235.85, 798.5959999999832, 1697379.5421875, 0.00995233926757114
4400, 236.35, 788.1999999999784, 4300202.934375, 0.009953054718756595
4500, 173.6, 575.8159999999862, 9755784.1125, 0.009953770221374218
4600, 214.0, 732.4599999999908, 8535122.09375, 0.009954485775427712
4700, 234.75, 874.9799999999875, 2141712.9625, 0.009955201380920764
4800, 197.6, 683.1679999999787, 3116640.0, 0.009955917037857078
4900, 215.6, 729.2159999999815, 15244683.2375, 0.009956632746240356
5000, 234.6, 774.859999999981, 9863314.04375, 0.009957348506074297
5100, 244.35, 809.2399999999869, 3164963.6375, 0.009958064317362592
5200, 260.5, 927.0919999999869, 7443238.09375, 0.00995878018010894
5300, 246.7, 849.6759999999832, 1898066.865625, 0.009959496094317045
5400, 254.05, 875.0599999999889, 11428333.93125, 0.009960212059990602
5500, 242.65, 817.9079999999818, 7391917.80625, 0.009960928077133318
5600, 224.35, 780.7119999999856, 3188284.7328125, 0.009961644145748884
5700, 222.5, 734.0839999999818, 2463420.753125, 0.009962360265841009
